Reaction ID,Reactant(s)
2a,"['C=COCCCC', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2b,"['O=C1CCCN1C=C', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2c,"['C=CN(C)C(=O)C', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2d,"['C=CCO', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2e,"['C=CC(O)C', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2f,"['C=CCCO', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2g,"['C=COC(=O)C', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2h,"['C=Cc1ccccc1', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2i,"['O=C1CCC(=O)N1C=C', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2j,"['C=CC(=O)OC', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2k,"['C=CC#N', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
2l,"['C=CCCCC', 'O=S(=O)(Oc1cccc2ccccc12)C(F)(F)F']"
3a,"['C=COCCCC', 'Ic1cccc2ccccc12']"
3b,"['O=C1CCCN1C=C', 'Ic1cccc2ccccc12']"
3c,"['C=CN(C)C(=O)C', 'Ic1cccc2ccccc12']"
3d,"['C=CCO', 'Ic1cccc2ccccc12']"
3e,"['C=CC(O)C', 'Ic1cccc2ccccc12']"
3f,"['C=CCCO', 'Ic1cccc2ccccc12']"
3g,"['C=COC(=O)C', 'Ic1cccc2ccccc12']"
3h,"['C=Cc1ccccc1', 'Ic1cccc2ccccc12']"
3i,"['O=C1CCC(=O)N1C=C', 'Ic1cccc2ccccc12']"
3j,"['C=CC(=O)OC', 'Ic1cccc2ccccc12']"
3k,"['C=CC#N', 'Ic1cccc2ccccc12']"
3l,"['C=CCCCC', 'Ic1cccc2ccccc12']"
