Reaction ID,RXN type,Reactant(s)
3790782,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'N#Cc1ccc(Br)cc1']"
8639879,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=C(O)c1cccc(I)c1']"
8998731,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Clc1ccc(I)cc1']"
29279769,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'N#Cc1ccc(I)cc1']"
4716738,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'COC(=O)c1ccc(I)cc1']"
9146189,inter_rxn_one_to_beta,"['C=CC#N', 'O=[N+]([O-])c1ccc(I)cc1']"
9177652,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Ic1cccs1']"
9546736,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=[N+]([O-])c1ccc(I)cc1']"
9791133,inter_rxn_one_to_alpha,"['C=CN(C)C(C)=O', 'CC(=O)c1ccc(Br)cc1']"
22839006,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=Cc1cccc(Br)c1']"
29149428,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'Cc1ccccc1I']"
30408259,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1ccc(Br)cc1F']"
30674481,inter_rxn_one_to_beta,"['C=CC(=O)N(C)C', 'Clc1nc(N2CCOCC2)c2oc3ncc(Br)cc3c2n1']"
4087838,inter_rxn_one_to_beta,"['C=CC(=O)O', 'O=Cc1ccc(Br)cc1']"
9146194,inter_rxn_one_to_beta,"['C=CC#N', 'Cc1ccc(I)cc1']"
9388931,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Brc1ccc(I)cc1']"
23222913,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=Cc1ccccc1Br']"
23748513,inter_rxn_one_to_beta,"['C=Cc1ccccn1', 'O=[N+]([O-])c1ccc2c(I)nn(C3CCCCO3)c2c1']"
25968705,inter_rxn_one_to_beta,"['C=CC(C)=O', 'COc1ccc(I)cc1']"
28013815,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'COc1ccc(Br)c(NC(=O)C(C)(C)C)n1']"
29069324,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'COc1cc(C#N)ccc1OS(=O)(=O)C(F)(F)F']"
29919372,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I']"
30278325,inter_rxn_one_to_beta,"['C=CC(=O)OC(C)(C)C', 'Cc1c(Br)cccc1[N+](=O)[O-]']"
30939473,inter_rxn_one_to_beta,"['C=CC(=O)OCCCC', 'Fc1ccc(Br)cc1']"
31740883,inter_rxn_one_to_beta,"['C=CB1OC(C)(C)C(C)(C)O1', 'Brc1ccc(CN2CCOCC2)cc1']"
1545545,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'O=[N+]([O-])c1ccccc1Br']"
2407150,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'O=Cc1ccc(Cl)cc1']"
2889918,inter_rxn_one_to_beta,"['C=CC(C)=O', 'Ic1ccccc1']"
4093646,inter_rxn_one_to_beta,"['C=CC(=O)O', 'O=[N+]([O-])c1ccc(I)cc1']"
9146191,inter_rxn_one_to_beta,"['C=CC#N', 'O=[N+]([O-])c1cccc(I)c1']"
9178439,inter_rxn_one_to_beta,"['C=Cc1ccccc1', 'Brc1ccc2ccccc2c1']"
9263502,inter_rxn_one_to_beta,"['C=CC(=O)OC', 'O=C(Nc1cccc(Br)c1)C1CCCCC1']"
9546746,inter_rxn_one_to_beta,"['C=CC(=O)OCC', 'CC(=O)c1ccc(I)cc1']"
